variant,canonical,route
House Of The Dragon,House of the Dragon,fandom
House of the Dragon (TV),House of the Dragon,fandom
HP OC,OC,tag
HP/BtVS,Harry Potter/Buffy the Vampire Slayer,fandom
HP/DC,Harry Potter/DC,fandom
HP/Marvel,Crossover,genre
HP/Misc,Harry Potter,fandom
HP/Mixture of Crossovers,Crossover,genre
HP/Stargate,Crossover,genre
HP/X-Men,Crossover,genre
HS DxD,High School DxD,fandom
Hulk (2003),Hulk (2003),fandom
Hunger Games Series - All Media Types,The Hunger Games,fandom
Hunger Games Trilogy - Suzanne Collins,Hunger Games Trilogy - Suzanne Collins,fandom
Hurt and comfort,Hurt/Comfort,tag
i guess?,i guess,tag
I Have No Idea What Im Doing,I Have No Idea What I'M Doing,tag
Implied/Referenced Rape/Non-con,Non-Con,tag
Implied/Referenced Torture,Torture,tag
Implied/Referenced Underage Sex,Underage,tag
Incest Eventually... Maybe.,Incest,tag
Incest Is Wincest,Incest,tag
Incest?,Incest,tag
Iron Man,Tony Stark,character
Iron Man (Movies),Iron Man (Movies),fandom
Iron-Dad,Iron Dad,tag
Ironman,Tony Stark,character
Isekai Adventure,Isekai,genre
Isekai and Transmigration,Isekai,genre
Isekai Kinda,Isekai,genre
Isekai Protagonist,Isekai,genre
Iskandar | Rider,Iskandar | Rider,character
Isot (Isekai),Isekai,genre
It's Like A Harem But With No Gfs,Harem,tag
J. Ironwood,James Ironwood,character
Jaime L.,Jaime Lannister,character
James,James Potter,character
James P.,James P.,character
Jedi,Star Wars,fandom
Joffrey B.,Joffrey Baratheon,character
John W.,John Watson,character
Joker,Joker,character
Justice League,Justice League,fandom
Justice League - All Media Types,Justice League,fandom
Kaguya S.,Otsutsuki Kaguya,character
Kakashi,Hatake Kakashi,character
Karin K.,Karin K.,character
Kimi no Na wa./君の名は.,Your Name,fandom
kind of?,kind of,tag
Kingdom-Building,Kingdom building,tag
Koneko,Toujou Koneko,character
Konno Yuuki | Yuuki,Konno Yuuki,character
Konohagakure | Hidden Leaf Village,Naruto,fandom
Lantern Si,Self-Insert,tag
Lee R.,Rock Lee,character
Leila M.,Leila Malcal,character
Lemons,Lemon,tag
Lewd Ahead!,Smut,tag
Lewd And Smut Ahead,Smut,tag
Lewd?,Lewd,tag
Lewds,Smut,tag
Lewds Later,Eventual Smut,tag
Lewds Will Happen,Smut,tag
Lewdz,Smut,tag
Light Angst,Angst,tag
Lois L.,Lois Lane,character
Loli,Underage,tag
Lots of OCs - Freeform,OC,tag
Lots Of Smut,Smut,tag
Lots of Violence!,LOTS of violence,tag
M. Brood,M. Brood,character
Magic!,Magic,tag
Magical Realism,Magical Realism,genre
Major Original Character(s),OC,tag
Male Oc,OC,tag
Male Prontagonist,Male Protagonist,tag
Male Self Insert,Self-Insert,tag
Mangekyou Sharingan,Naruto,fandom
Manipulation,Manipulative,tag
Manipulative Main Character,Manipulative,tag
Manipulative others,Manipulative,tag
Marco D.,Marco D.,character
Marriage Contracts,Arranged Marriage,tag
Marrybell mB.,Marrybell mel Britannia,character
Mass Effect Au,Alternate Universe,genre
Mass Effect Trilogy,Mass Effect,fandom
Mature Content,Mature,tag
Maybe,maybe...,tag
Maybe Harem?,Harem,tag
Mc Doesn't Like Dragons...?,Mc Doesn't Like Dragons,tag
MCU AU,Alternate Universe,genre
MCU Self-Insert,Self-Insert,tag
Mei T.,Mei Terumi,character
Mild Gore,Gore,tag
Mildly Dubious Consent,Dub-Con,tag
Mind Break?,Mind Break,tag
Mind-Break,Mind Break,tag
Minor AU,Alternate Universe,genre
Minor Hermione Granger/Harry Potter,Hermione Granger/Harry Potter,character
Modern AU,Alternate Universe,genre
Morally Ambigous Protagonist,Grey,tag
Morally Ambiguous Character,Grey,tag
Morally Ambiguous Protagonist,Grey,tag
Morally Dubious,Grey,tag
Morally Grey Protagonist,Grey,tag
Mother/daughter incest,Incest,tag
Mother/Son Incest,Incest,tag
Multi Pairing,Multi-pairing,tag
Multi-Crossover (Crossover),Crossover,genre
Multi-Fandom,Crossover,genre
Multicross Elements,Crossover,genre
Multicross Kinda,Crossover,genre
Multicross-Elements,Multicross Elements,tag
Multiple Animes All At Once,Crossover,genre
Multiple Crossovers,Crossover,genre
Multiple Pov,POV Multiple,tag
Mutual Pining,Pining,tag
My Hero Academia Au,My Hero Academia,fandom
Mystery/Adventure,Mystery,genre
Mythological Creatures,Magical Creatures,tag
Naruto A.U.,Naruto Au,tag
Naruto Au,Alternate Universe,genre
Naruto AU SI,Self-Insert,tag
Naruto Crossover,Crossover,genre
narutofanfic,Naruto,fandom
Nemu K.,Kurotsuchi Nemu,character
NGE,Neon Genesis Evangelion,fandom
Non Canon,Alternate Universe,genre
Noncon,Non-Con,tag
Not Avengers: Endgame (Movie) Compliant,Alternate Universe,genre
